Cause,Fire-Start-Date,Initial-Report-Date,Fire-Out-Date,Region,Zone,County,Municipality,NFFL-Fuel-Model,Complex-Type,Acreage,Latitude,Longitude,Ownership,Reporting-Ranger,Fire-Report-Method,New-York-Zip-Codes,Counties,NYS-Municipal-Boundaries,duration,oil,year,month,day
Power line,05/12/2015,05/12/2015,05/12/2015,7,7A,Broome,FENTON, 7 - Brush - Understory,5.0,0.5,42.1637,-75.80796,Private Property,"Oldroyd,Jeremy M",911 Dispatch,453.0,2033.0,945.0,0.0,7,2015,05,12
Smoking,05/07/2015,05/07/2015,05/09/2015,3,3A,Ulster,MARBLETOWN,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.5,41.90941,-74.1008,Private Property,"Ellenbogen,Marie C",Supervisor,193.0,2182.0,422.0,2.0,1,2015,05,07
Smoking,05/14/2015,05/14/2015,05/14/2015,4,4A,Rensselaer,BRUNSWICK, 8 - Timber - Light Hardwood Litter,5.0,0.1,42.73646,-73.59531,Private Property,"Hess,Joseph C",Ranger Patrol,11.0,2138.0,130.0,0.0,8,2015,05,14
Debris Burning,05/14/2015,05/14/2015,05/14/2015,3,3B,Sullivan,LUMBERLAND, 1 - Grass - Light,5.0,0.3,41.45143,-74.87193,Private Property,"Quinn,Logan T",911 Dispatch,1025.0,2180.0,654.0,0.0,1,2015,05,14
Lightning,05/14/2015,05/14/2015,05/20/2015,5,5A,Franklin,FRANKLIN, 9 - Timber - Medium Hardwood Litter,5.0,6.8,44.49274000000001,-74.15545999999998,Private Property,"Dominesey,Megan M",911 Dispatch,307.0,621.0,184.0,6.0,9,2015,05,14
Children,05/15/2015,05/15/2015,05/15/2015,3,3B,Dutchess,HYDE PARK, 7 - Brush - Understory,5.0,1.0,41.76609000000001,-73.86934000000002,Private Property,"Bills,Aimee T",911 Dispatch,978.0,2040.0,595.0,0.0,7,2015,05,15
Incendiary,05/16/2015,05/16/2015,05/18/2015,4,4A,Albany,GUILDERLAND, 7 - Brush - Understory,5.0,5.0,42.7341,-73.92057,Other Government,"Kittle,Darryl J",911 Dispatch,72.0,2030.0,832.0,2.0,7,2015,05,16
Prescribed Fire,05/21/2015,05/21/2015,05/24/2015,4,4A,Albany,ALBANY, 5 - Brush - Continuous but Light,2.0,42.0,42.70695,-73.73174,Other Government,"Hess,Joseph C",Ranger Patrol,48.0,2030.0,834.0,3.0,5,2015,05,21
Debris Burning,05/22/2015,05/22/2015,05/23/2015,6,6A,St. Lawrence,LOUISVILLE, 5 - Brush - Continuous but Light,1.0,2.0,44.54665,-75.01836999999998,Wildlife Management Area,"Black,Corenne L",911 Dispatch,1478.0,2140.0,314.0,1.0,5,2015,05,22
Campfire,05/23/2015,05/23/2015,05/26/2015,5,5E,Warren,WARRENSBURG, 8 - Timber - Light Hardwood Litter,5.0,1.1,43.40175,-73.87899999999998,Forest Preserve,"Kabrehl,Charles J",911 Dispatch,129.0,2183.0,815.0,3.0,8,2015,05,23
Debris Burning,05/24/2015,05/24/2015,05/25/2015,3,3B,Sullivan,MAMAKATING, 7 - Brush - Understory,5.0,1.2,41.51275,-74.55462,Private Property,"Quinn,Logan T",911 Dispatch,1101.0,2180.0,653.0,1.0,7,2015,05,24
Debris Burning,05/24/2015,05/24/2015,05/24/2015,6,6A,St. Lawrence,CLIFTON, 7 - Brush - Understory,5.0,1.2,44.29316,-74.82441999999998,Private Property,"Benzel,William ",911 Dispatch,219.0,2140.0,337.0,0.0,7,2015,05,24
Incendiary,05/25/2015,05/25/2015,05/29/2015,9,9A,Cattaraugus,SALAMANCA, 9 - Timber - Medium Hardwood Litter,4.0,23.7,42.13318,-78.79503000000003,Native American Lands,"Rogers,Robert C",911 Dispatch,1744.0,2034.0,373.0,4.0,9,2015,05,25
Debris Burning,05/25/2015,05/25/2015,05/25/2015,4,4A,Columbia,KINDERHOOK, 6 - Brush - Mixed/Regeneration,4.0,0.5,42.42096,-73.70434,Private Property,"Hess,Joseph C",911 Dispatch,14.0,619.0,514.0,0.0,6,2015,05,25
Incendiary,05/27/2015,05/27/2015,05/28/2015,1,1A,Suffolk,BROOKHAVEN, 8 - Timber - Light Hardwood Litter,5.0,0.1,40.89026,-72.77837,Private Property,"Lunt,Chester A",Fire Department,1607.0,2179.0,1022.0,1.0,8,2015,05,27
Fireworks,05/25/2015,05/26/2015,05/26/2015,2,2A,Richmond,STATEN ISLAND, 3 - Grass - Heavy,4.0,3.2,40.59065,-74.07117,Other Not Classified,"Martin,Russell P",Local P.D.,608.0,2139.0,585.0,1.0,3,2015,05,25
Power line,06/04/2015,06/04/2015,06/04/2015,5,5A,Franklin,BRIGHTON, 2 - Grass - Understory,5.0,0.1,44.44146,-74.23893000000002,Private Property,"Edmunds,Thomas R",911 Dispatch,292.0,621.0,191.0,0.0,2,2015,06,04
Incendiary,06/14/2015,06/14/2015,06/15/2015,1,1A,Suffolk,BROOKHAVEN, 3 - Grass - Heavy,3.0,0.3,40.74508,-72.87698,Other Government,"Lunt,Chester A",911 Dispatch,1671.0,2179.0,1022.0,1.0,3,2015,06,14
Prescribed Fire,07/16/2015,07/16/2015,07/16/2015,4,4A,Albany,ALBANY, 5 - Brush - Continuous but Light,5.0,20.0,42.72,-73.87256,Other Government,"Seeley,Jason J",Ranger Patrol,42.0,2030.0,814.0,0.0,5,2015,07,16
Prescribed Fire,07/17/2015,07/17/2015,07/17/2015,4,4A,Albany,ALBANY, 5 - Brush - Continuous but Light,5.0,10.0,42.71683,-73.86851,Other Government,"Seeley,Jason J",Ranger Patrol,42.0,2030.0,814.0,0.0,5,2015,07,17
Incendiary,07/22/2015,07/22/2015,07/27/2015,1,1A,Suffolk,BROOKHAVEN, 6 - Brush - Mixed/Regeneration,5.0,3.2,44.92915,-74.29647,Private Property,"Pries,Joseph M",Supervisor,218.0,621.0,188.0,5.0,6,2015,07,22
Equipment,07/24/2015,07/24/2015,07/25/2015,5,5E,Warren,THURMAN, 9 - Timber - Medium Hardwood Litter,5.0,1.0,43.5539,-73.85681,Private Property,"Schroeder,Rick A",911 Dispatch,156.0,2183.0,816.0,1.0,9,2015,07,24
Lightning,07/28/2015,07/28/2015,07/29/2015,5,5E,Warren,JOHNSBURG, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.64971,-73.98504,Private Property,"Kabrehl,Charles J",Fire Department,135.0,2183.0,821.0,1.0,8,2015,07,28
Campfire,07/28/2015,07/28/2015,07/28/2015,6,6B,Lewis,LOWVILLE, 3 - Grass - Heavy,5.0,1.0,43.85256,-75.4871,Private Property,"Hubschmitt,Michael ",911 Dispatch,571.0,623.0,619.0,0.0,3,2015,07,28
Campfire,08/02/2015,08/02/2015,08/03/2015,5,5F,Washington,DRESDEN, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.57903,-73.58077,Forest Preserve,"Donegan,Evan F",DEC Dispatch,102.0,2183.0,729.0,1.0,8,2015,08,02
Incendiary,08/03/2015,08/03/2015,08/04/2015,1,1A,Suffolk,BROOKHAVEN, 8 - Timber - Light Hardwood Litter,5.0,0.1,40.90696,-72.91925,State Forest/RF Area,"Nally,David X",911 Dispatch,1644.0,2179.0,1022.0,1.0,8,2015,08,03
Smoking,08/03/2015,08/03/2015,08/03/2015,4,4A,Greene,HUNTER, 9 - Timber - Medium Hardwood Litter,5.0,0.1,42.17312,-74.0542,Forest Preserve,"Breigle,Jeffrey ",911 Dispatch,187.0,2087.0,755.0,0.0,9,2015,08,03
Campfire,08/05/2015,08/05/2015,08/08/2015,5,5D,Fulton,STRATFORD, 9 - Timber - Medium Hardwood Litter,5.0,1.0,43.25673,-74.65091,Forest Preserve,"Kerr,Ian M",Ranger Patrol,1378.0,2085.0,378.0,3.0,9,2015,08,05
Lightning,08/06/2015,08/06/2015,08/13/2015,5,5B,Essex,WESTPORT, 9 - Timber - Medium Hardwood Litter,5.0,1.5,44.23155,-73.36366,Forest Preserve,"Bode,Sarah ",911 Dispatch,338.0,2084.0,419.0,7.0,9,2015,08,06
Fireworks,08/08/2015,08/08/2015,08/11/2015,1,1A,Suffolk,SOUTHAMPTON, 9 - Timber - Medium Hardwood Litter,5.0,1.0,40.86003,-72.58576,Other Government,"Nally,David X",911 Dispatch,1602.0,2179.0,1013.0,3.0,9,2015,08,08
Incendiary,08/10/2015,08/10/2015,08/11/2015,1,1A,Suffolk,SOUTHAMPTON, 8 - Timber - Light Hardwood Litter,4.0,4.0,40.86013,-72.62406,State Forest/RF Area,"Lunt,Chester A",911 Dispatch,1138.0,2179.0,1013.0,1.0,8,2015,08,10
Campfire,08/14/2015,08/14/2015,08/16/2015,5,5F,Saratoga,CORINTH, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.2472,-73.98634,Forest Preserve,"Goetke,Anthony G",DEC Dispatch,1302.0,2141.0,1006.0,2.0,8,2015,08,14
Structure,08/15/2015,08/16/2015,08/17/2015,3,3B,Orange,MONROE, 9 - Timber - Medium Hardwood Litter,5.0,1.0,41.33577,-74.18419,Private Property,"Quinn,Logan T",911 Dispatch,1542.0,2134.0,871.0,2.0,9,2015,08,15
Campfire,08/16/2015,08/16/2015,08/17/2015,5,5A,Hamilton,LONG LAKE,12 - Slash - Medium,5.0,0.1,44.03909,-74.6007,Wilderness Area,"Zurek,Robert ",Other,130.0,622.0,864.0,1.0,1,2015,08,16
Campfire,08/17/2015,08/18/2015,08/20/2015,5,5A,Hamilton,LONG LAKE,11 - Slash - Light,5.0,0.1,43.99885,-74.6564,Wilderness Area,"Zurek,Robert ",DEC Dispatch,130.0,622.0,864.0,3.0,1,2015,08,17
Incendiary,08/24/2015,08/24/2015,08/26/2015,3,3B,Putnam,KENT, 8 - Timber - Light Hardwood Litter,5.0,0.2,41.46093,-73.72606999999998,State Forest/RF Area,"Davey,Nancy H",DEC Dispatch,1201.0,627.0,102.0,2.0,8,2015,08,24
Lightning,08/26/2015,08/26/2015,09/04/2015,5,5E,Warren,HAGUE, 8 - Timber - Light Hardwood Litter,5.0,1.5,43.71246,-73.51744000000002,Forest Preserve,"Donegan,Evan F",911 Dispatch,152.0,2183.0,823.0,9.0,8,2015,08,26
Incendiary,08/30/2015,08/30/2015,09/08/2015,1,1A,Suffolk,BABYLON, 6 - Brush - Mixed/Regeneration,4.0,2.0,40.77255,-73.22978,State Forest/RF Area,"Gallagher,Bryan ",Fire Department,1074.0,2179.0,1019.0,9.0,6,2015,08,30
Lightning,08/31/2015,08/31/2015,09/04/2015,5,5F,Washington,GRANVILLE, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.39252000000001,-73.35233000000002,Private Property,"Goetke,Anthony G",911 Dispatch,94.0,2184.0,725.0,4.0,8,2015,08,31
Campfire,08/30/2015,08/30/2015,09/05/2015,1,1A,Suffolk,BABYLON, 6 - Brush - Mixed/Regeneration,5.0,0.1,40.77372,-73.29557,State Forest/RF Area,"Nally,David X",Fire Department,1110.0,2179.0,1023.0,6.0,6,2015,08,30
Campfire,09/02/2015,09/02/2015,09/04/2015,4,4A,Greene,HUNTER, 9 - Timber - Medium Hardwood Litter,5.0,0.1,42.17547,-74.07024,Forest Preserve,"Nelson,Christine X",DEC Dispatch,187.0,2087.0,755.0,2.0,9,2015,09,02
Campfire,09/03/2015,09/03/2015,09/07/2015,3,3A,Ulster,KINGSTON,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.1,41.9839,-74.08066,Forest Preserve,"Slade,Kevin M",DEC Dispatch,79.0,2182.0,424.0,4.0,1,2015,09,03
Incendiary,09/05/2015,09/05/2015,09/08/2015,1,1A,Suffolk,RIVERHEAD, 2 - Grass - Understory,5.0,6.6,40.90348,-72.81557,State Forest/RF Area,"Nally,David X",911 Dispatch,1607.0,2179.0,1017.0,3.0,2,2015,09,05
Smoking,09/06/2015,09/06/2015,09/15/2015,5,5B,Essex,MORIAH,12 - Slash - Medium,4.0,6.4,44.06069,-73.58621,Private Property,"Jeffery,Delbert W",Other,284.0,2084.0,439.0,9.0,1,2015,09,06
Lightning,09/07/2015,09/07/2015,09/20/2015,5,5C,Essex,WILMINGTON,10 - Timber  - Heavy Litter/Downed Fuels,5.0,2.1,44.33376,-73.89278,Forest Preserve,"Kostoss,Christopher ",911 Dispatch,340.0,2084.0,417.0,13.0,1,2015,09,07
Lightning,09/04/2015,09/07/2015,09/08/2015,5,5F,Saratoga,DAY, 8 - Timber - Light Hardwood Litter,5.0,0.3,43.31663,-73.94187,Private Property,"Laczko,Jaime ",Landowner,97.0,2141.0,1007.0,4.0,8,2015,09,04
Lightning,09/07/2015,09/07/2015,09/16/2015,5,5E,Warren,BOLTON, 9 - Timber - Medium Hardwood Litter,4.0,4.0,43.59241,-73.60341,Forest Preserve,"Schroeder,Rick A",Fire Department,801.0,2183.0,826.0,9.0,9,2015,09,07
Debris Burning,09/06/2015,09/06/2015,09/10/2015,3,3B,Dutchess,DOVER, 8 - Timber - Light Hardwood Litter,5.0,0.5,41.74199,-73.58913000000003,Private Property,"Parlier,Philip J",Fire Department,966.0,2040.0,598.0,4.0,8,2015,09,06
Debris Burning,09/11/2015,09/11/2015,09/11/2015,9,9A,Chautauqua,NORTH HARMONY, 6 - Brush - Mixed/Regeneration,5.0,12.9,42.11783,-79.42794,Private Property,"Pachan,David L",911 Dispatch,1692.0,2035.0,206.0,0.0,6,2015,09,11
Campfire,09/12/2015,09/12/2015,09/16/2015,5,5D,Hamilton,INLET, 9 - Timber - Medium Hardwood Litter,5.0,0.1,43.37579,-74.40589,Forest Preserve,"Miller,Gary W",911 Dispatch,20.0,622.0,862.0,4.0,9,2015,09,12
Campfire,09/15/2015,09/15/2015,09/19/2015,5,5D,Hamilton,ARIETTA,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.3,43.26406,-74.63659,Forest Preserve,"Ploss,John ",911 Dispatch,1157.0,622.0,870.0,4.0,1,2015,09,15
Lightning,09/17/2015,09/17/2015,09/21/2015,5,5A,Franklin,BRIGHTON, 9 - Timber - Medium Hardwood Litter,5.0,0.7,44.43015,-74.26857,Private Property,"Edmunds,Thomas R",911 Dispatch,292.0,621.0,191.0,4.0,9,2015,09,17
Campfire,09/19/2015,09/19/2015,09/20/2015,5,5D,Hamilton,ARIETTA,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.3,43.27607,-74.54449,Forest Preserve,"Kerr,Ian M",911 Dispatch,1306.0,622.0,870.0,1.0,1,2015,09,19
Campfire,09/19/2015,09/19/2015,09/21/2015,5,5A,Franklin,HARRIETSTOWN, 8 - Timber - Light Hardwood Litter,5.0,0.1,44.30006,-74.18219,Forest Preserve,"Edmunds,Thomas R",DEC Dispatch,274.0,621.0,183.0,2.0,8,2015,09,19
Campfire,09/25/2015,09/25/2015,09/26/2015,5,5F,Washington,HEBRON, 9 - Timber - Medium Hardwood Litter,5.0,0.1,43.59625,-73.51760999999998,Forest Preserve,"Bodnar,Michael J",Other,805.0,2184.0,729.0,1.0,9,2015,09,25
Campfire,09/26/2015,09/26/2015,09/29/2015,5,5E,Warren,LAKE GEORGE, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.43074,-73.73106,Forest Preserve,"Donegan,Evan F",911 Dispatch,128.0,2183.0,820.0,3.0,8,2015,09,26
Campfire,09/26/2015,09/26/2015,10/04/2015,5,5E,Essex,SCHROON, 9 - Timber - Medium Hardwood Litter,4.0,121.6,43.85704000000001,-73.64528,Forest Preserve,"Baldwin,Benjamin C",911 Dispatch,148.0,2084.0,427.0,8.0,9,2015,09,26
Campfire,09/27/2015,09/28/2015,09/28/2015,6,6B,Herkimer,WEBB,10 - Timber  - Heavy Litter/Downed Fuels,5.0,0.1,43.89932,-74.9855,Forest Preserve,"Evans,Luke ",Other,544.0,2088.0,666.0,1.0,1,2015,09,27
Campfire,09/27/2015,09/28/2015,09/30/2015,6,6B,Herkimer,WEBB, 9 - Timber - Medium Hardwood Litter,5.0,0.1,43.9825,-74.92322,Wilderness Area,"Scanlon,John ",Ranger Patrol,571.0,2088.0,666.0,3.0,9,2015,09,27
Campfire,09/29/2015,09/29/2015,10/01/2015,1,1A,Suffolk,BROOKHAVEN, 8 - Timber - Light Hardwood Litter,5.0,0.1,40.9341,-72.92116,State Forest/RF Area,"Nally,David X",Other,1420.0,2179.0,1022.0,2.0,8,2015,09,29
Campfire,10/14/2015,10/14/2015,10/16/2015,5,5F,Washington,FORT ANN, 8 - Timber - Light Hardwood Litter,5.0,0.1,43.55164,-73.54895,Forest Preserve,"Bodnar,Michael J",Other,91.0,2184.0,727.0,2.0,8,2015,10,14
Prescribed Fire,10/19/2015,10/19/2015,10/21/2015,4,4A,Albany,GUILDERLAND, 6 - Brush - Mixed/Regeneration,5.0,27.0,42.73033,-73.87974,State Forest/RF Area,"DiCintio,Chris A",Other,72.0,2030.0,834.0,2.0,6,2015,10,19
Prescribed Fire,10/27/2015,10/27/2015,10/27/2015,1,1A,Suffolk,RIVERHEAD, 1 - Grass - Light,4.0,8.6,40.90399,-72.81345,State Forest/RF Area,"Carpenter,Timothy J",DEC Dispatch,1607.0,2179.0,1017.0,0.0,1,2015,10,27
Incendiary,11/04/2015,11/05/2015,11/09/2015,8,8A,Steuben,WHEELER, 8 - Timber - Light Hardwood Litter,4.0,15.0,42.46622,-77.36109,Private Property,"Staples,Anne M",911 Dispatch,59.0,2178.0,17.0,5.0,8,2015,11,04
Equipment,11/08/2015,11/08/2015,11/11/2015,3,3B,Dutchess,LA GRANGE, 9 - Timber - Medium Hardwood Litter,5.0,9.0,43.67223,-73.77124,Private Property,"Bills,Aimee T",911 Dispatch,802.0,2183.0,822.0,3.0,9,2015,11,08
Smoking,11/09/2015,11/09/2015,11/12/2015,8,8A,Steuben,THURSTON, 8 - Timber - Light Hardwood Litter,5.0,0.8,42.24826,-77.30676,Private Property,"Staples,Anne M",911 Dispatch,1766.0,2178.0,24.0,3.0,8,2015,11,09
Incendiary,11/13/2015,11/13/2015,11/16/2015,2,2A,Richmond,STATEN ISLAND, 3 - Grass - Heavy,3.0,56.8,40.55334000000001,-74.11159,Other Government,"Martin,Russell P",Supervisor,609.0,2139.0,585.0,3.0,3,2015,11,13
Campfire,11/16/2015,11/16/2015,11/19/2015,3,3B,Orange,WARWICK, 9 - Timber - Medium Hardwood Litter,5.0,1.8,41.22659,-74.32401,Private Property,"Parlier,Philip J",911 Dispatch,1656.0,2134.0,885.0,3.0,9,2015,11,16
Prescribed Fire,11/23/2015,11/23/2015,11/23/2015,4,4A,Albany,COLONIE, 3 - Grass - Heavy,5.0,37.0,42.73983,-73.88661,Other Government,"Breigle,Jeffrey ",Other,72.0,2030.0,834.0,0.0,3,2015,11,23
Incendiary,01/24/2016,01/24/2016,01/24/2016,3,3B,Orange,WALLKILL, 3 - Grass - Heavy,5.0,0.5,41.55642,-74.42452,Private Property,"Sabo,Scott L",911 Dispatch,1037.0,2134.0,886.0,0.0,3,2016,01,24
Miscellaneous,02/02/2016,02/02/2016,02/02/2016,3,3B,Orange,CRAWFORD, 9 - Timber - Medium Hardwood Litter,5.0,1.0,41.55813,-74.38003,Private Property,"Sabo,Scott L",911 Dispatch,1037.0,2134.0,879.0,0.0,9,2016,02,02
Railroad,02/22/2016,02/22/2016,02/26/2016,3,3B,Orange,MOUNT HOPE, 7 - Brush - Understory,5.0,1.3,41.47324,-74.50513000000002,Private Property,"Sabo,Scott L",Ranger Patrol,1550.0,2134.0,892.0,4.0,7,2016,02,22
Debris Burning,03/01/2016,03/01/2016,03/01/2016,3,3B,Sullivan,BETHEL, 7 - Brush - Understory,5.0,1.0,41.68503,-74.79354000000002,Private Property,"Stratton,Robert  E",Ranger Patrol,1082.0,2180.0,664.0,0.0,7,2016,03,01
Debris Burning,03/07/2016,03/07/2016,03/07/2016,7,7A,Broome,NANTICOKE, 3 - Grass - Heavy,5.0,20.5,42.2808,-76.06146,Private Property,"Oldroyd,Joan T",911 Dispatch,433.0,2033.0,941.0,0.0,3,2016,03,07
Debris Burning,03/07/2016,03/07/2016,03/07/2016,8,8A,Steuben,WHEELER, 1 - Grass - Light,5.0,2.0,42.38991,-77.34809,Private Property,"Carpenter,Timothy J",911 Dispatch,1757.0,2178.0,17.0,0.0,1,2016,03,07
Debris Burning,03/09/2016,03/09/2016,03/09/2016,8,8A,Steuben,WHEELER, 1 - Grass - Light,5.0,2.0,42.46525,-77.36599,Private Property,"Staples,Anne M",911 Dispatch,59.0,2178.0,17.0,0.0,1,2016,03,09
Debris Burning,03/09/2016,03/09/2016,03/12/2016,3,3B,Sullivan,FALLSBURGH, 8 - Timber - Light Hardwood Litter,5.0,15.0,41.69287,-74.53196,Private Property,"Kreft,Howard K",911 Dispatch,1083.0,2180.0,660.0,3.0,8,2016,03,09
Debris Burning,03/09/2016,03/09/2016,03/09/2016,4,4A,Rensselaer,SCHODACK, 6 - Brush - Mixed/Regeneration,5.0,7.3,42.47073,-73.73038000000003,Private Property,"Hess,Joseph C",911 Dispatch,1403.0,2138.0,112.0,0.0,6,2016,03,09
Debris Burning,03/09/2016,03/09/2016,03/09/2016,4,4A,Columbia,GHENT, 1 - Grass - Light,5.0,0.2,42.31847,-73.62856,Private Property,"Hess,Joseph C",911 Dispatch,1223.0,619.0,518.0,0.0,1,2016,03,09
Debris Burning,03/09/2016,03/09/2016,03/09/2016,4,4A,Columbia,TAGHKANIC, 9 - Timber - Medium Hardwood Litter,5.0,2.3,42.09538,-73.66779,Private Property,"DiCintio,Chris A",Sheriff,946.0,619.0,509.0,0.0,9,2016,03,09
Debris Burning,03/09/2016,03/09/2016,03/09/2016,4,4A,Columbia,ANCRAM, 9 - Timber - Medium Hardwood Litter,5.0,0.8,42.02782,-73.64239,Private Property,"DiCintio,Chris A",911 Dispatch,946.0,619.0,527.0,0.0,9,2016,03,09
Smoking,03/12/2016,03/12/2016,03/12/2016,3,3B,Sullivan,BETHEL, 1 - Grass - Light,5.0,0.5,41.7492,-74.89842,Private Property,"Quinn,Logan T",911 Dispatch,1057.0,2180.0,664.0,0.0,1,2016,03,12
Debris Burning,03/12/2016,03/12/2016,03/12/2016,4,4A,Rensselaer,NASSAU, 8 - Timber - Light Hardwood Litter,5.0,2.6,42.51147,-73.58624,Private Property,"Hess,Joseph C",911 Dispatch,1296.0,2138.0,126.0,0.0,8,2016,03,12
Incendiary,03/12/2016,03/12/2016,03/12/2016,3,3A,Ulster,SAUGERTIES, 9 - Timber - Medium Hardwood Litter,5.0,2.0,42.06272,-73.99461,Private Property,"Kreft,Howard K",DEC Dispatch,330.0,2182.0,411.0,0.0,9,2016,03,12
Campfire,03/19/2016,03/19/2016,03/19/2016,3,3B,Steuben,FREMONT, 3 - Grass - Heavy,5.0,3.0,41.81463,-75.08235,Private Property,"Sabo,Scott L",911 Dispatch,1039.0,2180.0,657.0,0.0,3,2016,03,19
Debris Burning,03/20/2016,03/20/2016,03/20/2016,9,9A,Cattaraugus,OTTO, 1 - Grass - Light,5.0,1.0,42.41771,-78.85028,Private Property,"Rogers,Robert C",911 Dispatch,1700.0,2034.0,346.0,0.0,1,2016,03,20
Incendiary,03/21/2016,03/21/2016,03/23/2016,3,3B,Orange,HAMPTONBURGH, 8 - Timber - Light Hardwood Litter,5.0,2.0,41.48584,-74.25393000000003,Private Property,"Sabo,Scott L",911 Dispatch,986.0,2134.0,875.0,2.0,8,2016,03,21
Miscellaneous,03/21/2016,03/21/2016,03/21/2016,3,3A,Ulster,WAWARSING, 8 - Timber - Light Hardwood Litter,5.0,1.5,41.66501,-74.38538,Private Property,"Stratton,Robert  E",911 Dispatch,116.0,2182.0,407.0,0.0,8,2016,03,21
Incendiary,03/21/2016,03/21/2016,03/25/2016,2,2A,Kings,BROOKLYN, 3 - Grass - Heavy,3.0,11.6,40.59114,-73.9171,Other Government,"Martin,Russell P",Other,817.0,2090.0,894.0,4.0,3,2016,03,21
Debris Burning,03/24/2016,03/24/2016,03/24/2016,7,7A,Broome,CHENANGO, 1 - Grass - Light,5.0,6.0,42.2261,-75.94164,Private Property,"Oldroyd,Jeremy M",911 Dispatch,1661.0,2033.0,966.0,0.0,1,2016,03,24
Debris Burning,03/24/2016,03/24/2016,03/27/2016,7,7A,Tioga,BARTON, 9 - Timber - Medium Hardwood Litter,4.0,28.0,42.01726,-76.51185,Private Property,"Oldroyd,Joan T",911 Dispatch,920.0,630.0,58.0,3.0,9,2016,03,24
Debris Burning,03/24/2016,03/24/2016,03/24/2016,8,8A,Steuben,CANISTEO, 8 - Timber - Light Hardwood Litter,5.0,2.7,42.27145,-77.58453,Private Property,"Carpenter,Timothy J",911 Dispatch,1769.0,2178.0,42.0,0.0,8,2016,03,24
Miscellaneous,03/24/2016,03/24/2016,03/24/2016,4,4B,Delaware,WALTON, 5 - Brush - Continuous but Light,5.0,1.3,42.16907,-75.12029,Private Property,"Seeley,Jason J",911 Dispatch,467.0,2039.0,555.0,0.0,5,2016,03,24
Debris Burning,03/29/2016,03/29/2016,03/29/2016,3,3B,Orange,DEERPARK, 9 - Timber - Medium Hardwood Litter,5.0,1.0,41.40543,-74.61949,Private Property,"Parlier,Philip J",Ranger Patrol,1091.0,2134.0,878.0,0.0,9,2016,03,29
Smoking,03/30/2016,03/30/2016,03/31/2016,5,5B,Essex,CHESTERFIELD, 1 - Grass - Light,5.0,4.0,44.44238,-73.61003000000002,Private Property,"Bronson,Glen A",Ranger Patrol,273.0,2084.0,454.0,1.0,1,2016,03,30
Children,03/30/2016,03/30/2016,03/30/2016,7,7A,Chenango,BAINBRIDGE, 1 - Grass - Light,4.0,8.3,42.30212,-75.43228,Private Property,"Jackson,Scott ",911 Dispatch,1628.0,2037.0,274.0,0.0,1,2016,03,30
Prescribed Fire,03/30/2016,03/30/2016,04/01/2016,1,1A,Suffolk,ISLIP, 2 - Grass - Understory,5.0,29.5,40.74361,-73.10294,Federal Lands,"Nally,David X",Other,1486.0,2179.0,1019.0,2.0,2,2016,03,30
Equipment,03/30/2016,03/30/2016,03/30/2016,8,8A,Chemung,ASHLAND, 1 - Grass - Light,5.0,7.5,42.03239,-76.79253,Private Property,"Dormer,Patrick G",911 Dispatch,922.0,2036.0,490.0,0.0,1,2016,03,30
Debris Burning,03/24/2016,03/24/2016,03/24/2016,7,7A,Tioga,BARTON, 8 - Timber - Light Hardwood Litter,5.0,13.0,42.06094,-76.52503,Private Property,"Oldroyd,Joan T",911 Dispatch,920.0,630.0,58.0,0.0,8,2016,03,24
Prescribed Fire,04/14/2016,04/14/2016,04/14/2016,8,8A,Steuben,CAMERON, 3 - Grass - Heavy,5.0,12.0,42.21555,-77.40652,State Forest/RF Area,"Carpenter,Timothy J",Ranger Patrol,1765.0,2178.0,44.0,0.0,3,2016,04,14
Miscellaneous,04/14/2016,04/14/2016,04/14/2016,5,5E,Warren,HORICON, 8 - Timber - Light Hardwood Litter,5.0,2.0,43.7499,-73.68327,Private Property,"Donegan,Evan F",911 Dispatch,802.0,2183.0,822.0,0.0,8,2016,04,14
Debris Burning,04/14/2016,04/14/2016,04/14/2016,4,4B,Otsego,PLAINFIELD, 2 - Grass - Understory,5.0,5.3,42.81525,-75.17833,State Forest/RF Area,"Chappell,Michael C",911 Dispatch,1394.0,2136.0,900.0,0.0,2,2016,04,14
Incendiary,04/14/2016,04/14/2016,04/15/2016,3,3B,Dutchess,BEEKMAN,10 - Timber  - Heavy Litter/Downed Fuels,5.0,2.0,41.61995,-73.63086,State Forest/RF Area,"Davey,Nancy H",911 Dispatch,999.0,2040.0,600.0,1.0,1,2016,04,14
Prescribed Fire,04/15/2016,04/15/2016,04/15/2016,8,8A,Steuben,CAMERON, 3 - Grass - Heavy,5.0,12.5,42.19446,-77.376,State Forest/RF Area,"Carpenter,Timothy J",Ranger Patrol,1766.0,2178.0,44.0,0.0,3,2016,04,15
